,1,Washington,George,,1,2/22/1732,12/14/1799,Westmoreland County,Virginia,Virginia,Independent,4/30/1789,3/4/1797,FALSE,FALSE,Deist/Episcopalian,Images\George Washington.jpg
,2,Adams,John,,2,10/30/1735,7/4/1826,Quincy,Massachusetts,Massachusetts,Federalist,3/4/1797,3/4/1801,FALSE,FALSE,Unitarian,Images\John Adams.jpg
,3,Jefferson,Thomas,,3,4/13/1743,7/4/1826,Albemarle County,Virginia,Virginia,Democratic-Republican,3/4/1801,3/4/1809,FALSE,FALSE,,Images\Thomas Jefferson.jpg
,4,Madison,James,,4,3/16/1751,6/28/1836,Port Conway,Virginia,Virginia,Democratic-Republican,3/4/1809,3/4/1817,FALSE,FALSE,Deist/Episcopalian,Images\James Madison.jpg
,5,Monroe,James,,5,4/28/1758,7/4/1831,Westmoreland County,Virginia,Virginia,Democratic-Republican,3/4/1817,3/4/1825,FALSE,FALSE,Deist/Episcopalian,Images\James Monroe.jpg
,6,Adams,John,Quincy,6,7/11/1767,2/23/1848,Braintree,Massachusetts,Massachusetts,Democratic-Republican/National Republican,3/4/1825,3/4/1829,FALSE,FALSE,Unitarian,Images\John Quincy Adams.jpg
,7,Jackson,Andrew,,7,3/15/1767,6/8/1845,Lancaster County,Tennessee,Tennessee,Democratic,3/4/1829,3/4/1837,TRUE,FALSE,Presbyterian,Images\Andrew Jackson.jpg
,8,Van Buren,Martin,,8,12/5/1782,7/24/1862,Kinderhook,New York,New York,Democratic,3/4/1837,3/4/1841,FALSE,FALSE,Dutch Reformed,Images\Martin Van Buren.jpg
,9,Harrison,William,Henry,9,2/9/1773,4/4/1841,Charles City County,Ohio,Ohio,Whig,3/4/1841,4/4/1841,FALSE,FALSE,Episcopalian,Images\William Henry Harrison.jpg
,10,Tyler,John,,10,3/29/1790,1/18/1862,Charles City County,Virginia,Virginia,Whig,4/4/1841,3/4/1845,FALSE,FALSE,Episcopalian,Images\John Tyler.jpg
,11,Polk,James,Knox,11,11/2/1795,6/15/1849,Mecklenburg County,North Carolina,Tennessee,Democratic,3/4/1845,3/4/1849,FALSE,FALSE,Methodist,Images\James K Polk.jpg
,12,Taylor,Zachary,,12,11/24/1784,7/9/1850,Montebello,Virginia,Louisiana,Whig,3/4/1849,7/9/1850,FALSE,FALSE,Episcopalian,Images\Zachary Taylor.jpg
,13,Fillmore,Millard,,13,1/7/1800,3/8/1874,Cayuga County,New York,New York,Whig,7/9/1850,3/4/1853,FALSE,FALSE,Unitarian,Images\Millard Fillmore.jpg
,14,Pierce,Franklin,,14,11/3/1804,10/8/1869,Hillsboro,New Hampshire,New Hampshire,Democratic,3/4/1853,3/4/1857,FALSE,FALSE,,Images\Franklin Pierce.jpg
,15,Buchanan,James,,15,4/23/1791,6/1/1868,Franklin County,Pennsylvania,Pennsylvania,Democratic,3/4/1857,3/4/1861,FALSE,FALSE,Presbyterian,Images\James Buchanan.jpg
,16,Lincoln,Abraham,,16,2/12/1809,4/15/1865,LaRue County,Kentucky,Illinois,Republican/National Union,3/4/1861,4/15/1865,TRUE,TRUE,,Images\Abraham Lincoln.jpg
,17,Johnson,Andrew,,17,12/29/1808,7/31/1875,Raleigh,North Carolina,Tennessee,Democratic/National Union,4/15/1865,3/4/1869,FALSE,FALSE,,Images\Andrew Johnson.jpg
,18,Grant,Ulysses,S,18,4/27/1822,7/23/1885,Point Pleasant,Ohio,Ohio,Republican,3/4/1869,3/4/1877,FALSE,FALSE,Presbyterian/Methodist,Images\Ulysses S Grant.jpg
,19,Hayes,Rutherford,Birchard,19,10/4/1822,1/17/1893,Fremont,Ohio,Ohio,Republican,3/4/1877,3/4/1881,FALSE,FALSE,,Images\Rutherford B Hayes.jpg
,20,Garfield,James,Abram,20,11/19/1831,9/19/1881,Cuyahoga County,Ohio,Ohio,Republican,3/4/1881,9/19/1881,TRUE,TRUE,Disciples of Christ,Images\James A Garfield.jpg
,21,Arthur,Chester,Alan,21,10/5/1830,11/18/1886,Fairfield,Vermont,New York,Republican,9/19/1881,3/4/1885,FALSE,FALSE,Episcopalian,Images\Chester A Arthur.jpg
,22,Cleveland,Grover,,22,3/18/1837,6/24/1908,Caldwell,New Jersey,New York,Democratic,3/4/1885,3/4/1889,FALSE,FALSE,Presbyterian,Images\Grover Cleveland.jpg
,23,Harrison,Benjamin,,23,8/20/1833,3/13/1901,North Bend,Ohio,Indiana,Republican,3/4/1889,3/4/1893,FALSE,FALSE,Presbyterian,Images\Benjamin Harrison.jpg
,24,Cleveland,Grover,,24,3/18/1837,6/24/1908,Caldwell,New Jersey,New York,Democratic,3/4/1893,3/4/1897,FALSE,FALSE,Presbyterian,Images\Grover Cleveland.jpg
,25,McKinley,William,,25,1/29/1843,9/14/1901,Niles,Ohio,Ohio,Republican,3/4/1897,9/14/1901,TRUE,TRUE,Methodist,Images\William McKinley.jpg
,26,Roosevelt,Theodore,,26,10/27/1858,1/6/1919,New York,New York,New York,Republican,9/14/1901,3/4/1909,TRUE,FALSE,Dutch Reformed,Images\Theodore Roosevelt.jpg
,27,Taft,William,Howard,27,9/15/1857,3/8/1930,Cincinnati,Ohio,Ohio,Republican,3/4/1909,3/4/1913,FALSE,FALSE,Unitarian,Images\William Howard Taft.jpg
,28,Wilson,Woodrow,,28,12/28/1856,2/3/1924,Staunton,Virginia,New Jersey,Democratic,3/4/1913,3/4/1921,FALSE,FALSE,Presbyterian,Images\Woodrow Wilson.jpg
,29,Harding,Warren,Gamaliel,29,11/2/1865,8/2/1923,Morrow County,Ohio,Ohio,Republican,3/4/1921,8/2/1923,FALSE,FALSE,Baptist,Images\Warren Harding.jpg
,30,Coolidge,Calvin,,30,7/4/1872,1/5/1933,Plymouth,Vermont,Massachusetts,Republican,8/2/1923,3/4/1929,FALSE,FALSE,Congregationalist,Images\Calvin Coolidge.jpg
,31,Hoover,Herbert,Clark,31,8/10/1874,10/20/1964,West Branch,Iowa,Iowa,Republican,3/4/1929,3/4/1933,FALSE,FALSE,Quaker,Images\Herbert Hoover.jpg
,32,Roosevelt,Franklin,Delano,32,1/30/1882,4/12/1945,Hyde Park,New York,New York,Democratic,3/4/1933,4/12/1945,TRUE,FALSE,Episcopalian,Images\Franklin D Roosevelt.jpg
,33,Truman,Harry,S,33,5/8/1884,12/26/1972,Barton County,Missouri,Missouri,Democratic,4/12/1945,1/20/1953,TRUE,FALSE,Baptist,Images\Harry S Truman.jpg
,34,Eisenhower,Dwight,David,34,10/14/1890,3/28/1969,Denison,Texas,Texas,Republican,1/20/1953,1/20/1961,FALSE,FALSE,Presbyterian,Images\Dwight D Eisenhower.jpg
,35,Kennedy,John,Fitzgerald,35,5/29/1917,11/22/1963,Brookline,Massachusetts,Massachusetts,Democratic,1/20/1961,11/22/1963,TRUE,TRUE,Roman Catholic,Images\John F Kennedy.jpg
,36,Johnson,Lyndon,Baines,36,8/27/1908,1/22/1973,Gillespie County,Texas,Texas,Democratic,11/22/1963,1/20/1969,FALSE,FALSE,Disciples of Christ,Images\Lyndon B Johnson.jpg
,37,Nixon,Richard,Milhous,37,1/9/1913,4/22/1994,Yorba Linda,California,California,Republican,1/20/1969,8/9/1974,FALSE,FALSE,Quaker,Images\Richard Nixon.jpg
,38,Ford,Gerald,Rudolph,38,7/14/1913,12/26/2006,Omaha,Nebraska,Michigan,Republican,8/9/1974,1/20/1977,TRUE,FALSE,Episcopalian,Images\Gerald Ford.jpg
,39,Carter,Jimmy,,39,10/1/1924,,Plains,Georgia,Georgia,Democratic,1/20/1977,1/20/1981,FALSE,FALSE,Baptist,Images\Jimmy Carter.jpg
,40,Reagan,Ronald,Wilson,40,2/6/1911,6/5/2004,Tampico,Illinois,California,Republican,1/20/1981,1/20/1989,TRUE,FALSE,Presbyterian,Images\Ronald Reagan.jpg
,41,Bush,George,Herbert Walker,41,6/12/1924,,Milton,Massachusetts,Texas,Republican,1/20/1989,1/20/1993,FALSE,FALSE,Episcopalian,Images\George H W Bush.jpg
,42,Clinton,William,Jefferson,42,8/19/1946,,Hope,Arkansas,Arkansas,Democratic,1/20/1993,1/20/2001,FALSE,FALSE,Baptist,Images\William Clinton.jpg
,43,Bush,George,Walker,43,7/6/1946,,New Haven,Connecticut,Texas,Republican,1/20/2001,1/20/2009,FALSE,FALSE,Methodist,Images\George W Bush.jpg
,44,Obama,Barack,Hussein,44,8/4/1961,,Honolulu,Hawaii,Illinois,Democratic,1/20/2009,,,,Unaffiliated Christian,Images\Barack Obama.jpg
